pipeline_version,sample,sample_scope,spec,predictors,start,end,nobs,nw_lags,alpha,alpha_se_hac,alpha_t_hac,alpha_p_hac,alpha_ci_low,alpha_ci_high,r2,r2_x100,adj_r2,adj_r2_x100,beta_r_ONFH,beta_r_ONFH_x100,beta_r_ONFH_se_hac,beta_r_ONFH_t_hac,beta_r_ONFH_p_hac,beta_r_ONFH_ci_low,beta_r_ONFH_ci_high,beta_r_M,beta_r_M_x100,beta_r_M_se_hac,beta_r_M_t_hac,beta_r_M_p_hac,beta_r_M_ci_low,beta_r_M_ci_high,beta_r_SLH,beta_r_SLH_x100,beta_r_SLH_se_hac,beta_r_SLH_t_hac,beta_r_SLH_p_hac,beta_r_SLH_ci_low,beta_r_SLH_ci_high,beta_r_ROD,beta_r_ROD_x100,beta_r_ROD_se_hac,beta_r_ROD_t_hac,beta_r_ROD_p_hac,beta_r_ROD_ci_low,beta_r_ROD_ci_high,common_valid_nobs
boundary_corrected_v1,replication,equation_available,eq5_onfh,r_ONFH,2010-06-08,2020-05-01,2424,8,-3.7074335472990165e-05,5.6499408865909895e-05,-0.6561897941441958,0.5117643474395079,-0.00014786650854994954,7.371783760396923e-05,0.030897937074467974,3.0897937074467974,0.030497812358148635,3.0497812358148635,0.07447367884185614,7.447367884185614,0.036791292810325976,2.0242202204146,0.04305705999318953,0.002328016390046317,0.14661934129366597,,,,,,,,,,,,,,,,,,,,,,
boundary_corrected_v1,replication,equation_available,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2010-06-08,2020-05-01,2424,8,-5.0136023748015946e-05,5.5376197894309446e-05,-0.9053713626873616,0.36535880856134284,-0.00015872568795375128,5.84536404577194e-05,0.044288618134211144,4.428861813421115,0.04310385195834454,4.310385195834455,0.07017555424825189,7.017555424825189,0.034847664806539905,2.0137806833783007,0.04414305288107876,0.0018412091038184641,0.13850989939268532,0.04107074337075643,4.107074337075643,0.02271401241182084,1.8081676907679407,0.07070449629935953,-0.0034701798842507944,0.08561166662576367,0.12453445364097579,12.453445364097579,0.08264623459873746,1.5068375981750803,0.13198280826823153,-0.037530245710070936,0.28659915299202254,,,,,,,,
boundary_corrected_v1,replication,equation_available,eq7_rod,r_ROD,2010-06-08,2020-05-01,2424,8,-4.872562276243993e-05,5.543143287188201e-05,-0.8790251349817867,0.3794748467175981,-0.00015742355479250283,5.997230926762297e-05,0.04060419485764011,4.060419485764011,0.040208077679629306,4.02080776796293,,,,,,,,,,,,,,,,,,,,,,0.06137308557817975,6.137308557817975,0.023168242051399973,2.649017799538709,0.008125045347517089,0.015941461871469373,0.10680470928489012,
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq5_onfh,r_ONFH,2010-06-08,2020-05-01,2424,8,-3.7074335472990165e-05,5.6499408865909895e-05,-0.6561897941441958,0.5117643474395079,-0.00014786650854994954,7.371783760396923e-05,0.030897937074467974,3.0897937074467974,0.030497812358148635,3.0497812358148635,0.07447367884185614,7.447367884185614,0.036791292810325976,2.0242202204146,0.04305705999318953,0.002328016390046317,0.14661934129366597,,,,,,,,,,,,,,,,,,,,,,2424.0
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2010-06-08,2020-05-01,2424,8,-5.0136023748015946e-05,5.5376197894309446e-05,-0.9053713626873616,0.36535880856134284,-0.00015872568795375128,5.84536404577194e-05,0.044288618134211144,4.428861813421115,0.04310385195834454,4.310385195834455,0.07017555424825189,7.017555424825189,0.034847664806539905,2.0137806833783007,0.04414305288107876,0.0018412091038184641,0.13850989939268532,0.04107074337075643,4.107074337075643,0.02271401241182084,1.8081676907679407,0.07070449629935953,-0.0034701798842507944,0.08561166662576367,0.12453445364097579,12.453445364097579,0.08264623459873746,1.5068375981750803,0.13198280826823153,-0.037530245710070936,0.28659915299202254,,,,,,,,2424.0
boundary_corrected_v1,replication,common_valid_all_eq5_eq6_eq7,eq7_rod,r_ROD,2010-06-08,2020-05-01,2424,8,-4.872562276243993e-05,5.543143287188201e-05,-0.8790251349817867,0.3794748467175981,-0.00015742355479250283,5.997230926762297e-05,0.04060419485764011,4.060419485764011,0.040208077679629306,4.02080776796293,,,,,,,,,,,,,,,,,,,,,,0.06137308557817975,6.137308557817975,0.023168242051399973,2.649017799538709,0.008125045347517089,0.015941461871469373,0.10680470928489012,2424.0
boundary_corrected_v1,oos,equation_available,eq5_onfh,r_ONFH,2021-01-05,2025-12-31,1224,6,-5.368398281718397e-05,7.42382796729367e-05,-0.723130749442114,0.46973794236469035,-0.0001993325966063949,9.196463097202699e-05,0.0056048904323466875,0.5604890432346687,0.004791146480163655,0.4791146480163655,-0.02771684813700221,-2.771684813700221,0.015501400380274572,-1.7880222081271904,0.0740201241015145,-0.05812915681556116,0.002695460541556737,,,,,,,,,,,,,,,,,,,,,,
boundary_corrected_v1,oos,equation_available,eq6_onfh_m_slh,r_ONFH+r_M+r_SLH,2021-01-05,2025-12-31,1224,6,-5.224408818319421e-05,7.494332434456083e-05,-0.6971146348271904,0.48586386898495537,-0.00019927617314428726,9.478799677789884e-05,0.023809321796165572,2.3809321796165572,0.02140885291533645,2.140885291533645,-0.02827759634127386,-2.8277596341273856,0.01555001748623031,-1.8184928966359004,0.0692339368816518,-0.058785336852892014,0.002230144170344294,0.002072244241574945,0.20722442415749448,0.01636773756247193,0.12660541713023318,0.8992735710526765,-0.03003978976483899,0.03418427824798888,0.16746640719912229,16.74664071991223,0.05948347587282396,2.8153433326116737,0.004950902615378938,0.0507651592253401,0.2841676551729045,,,,,,,,
boundary_corrected_v1,oos,equation_available,eq7_rod,r_ROD,2021-01-05,2025-12-31,1224,6,-6.115798512521351e-05,7.420199627707554e-05,-0.8242094309275081,0.40998140809873884,-0.00020673541425963418,8.441944400920717e-05,2.432713518030205e-05,0.002432713518030205,-0.0007939835627450709,-0.07939835627450709,,,,,,,,,,,,,,,,,,,,,,-0.0012440143016375035,-0.12440143016375035,0.010496509431949186,-0.11851695172596934,0.9056775425684362,-0.021837191502456943,0.019349162899181933,
boundary_corrected_v1,oos,common_valid_all_eq5_eq6_eq7,eq5_onfh,r_ONFH,2021-01-05,2025-12-31,1224,6,-5.368398281718397e-05,7.42382796729367e-05,-0.723130749442114,0.46973794236469035,-0.0001993325966063949,9.196463097202699e-05,0.0056048904323466875,0.5604890432346687,0.004791146480163655,0.4791146480163655,-0.02771684813700221,-2.771684813700221,0.015501400380274572,-1.7880222081271904,0.0740201241015145,-0.05812915681556116,0.002695460541556737,,,,,,,,,,,,,,,,,,,,,,1224.0
